author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/303932639/,Москва,rent,flat,5,9,3,156.0,850000,0,Пресненский, Спиридоновка,15,Тверская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307553336/,Москва,rent,flat,6,8,4,140.0,450000,0,Тверской,Селезневская ,22,Достоевская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/301110217/,Москва,rent,flat,5,9,3,160.0,850000,0,Пресненский, Спиридоновка,15,Тверская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/304307264/,Москва,rent,flat,5,8,4,156.0,1000000,0,Хамовники,переулок Хилков,1,Парк Культуры
Tower Estate,real_estate_agent,https://www.cian.ru/rent/flat/306558750/,Москва,rent,flat,3,7,4,100.0,650000,0,Таганский,Серебрянический переулок,8,Китай-город
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/305209776/,Москва,rent,flat,2,5,3,82.0,440000,0,Таганский,Славянская площадь,2/5с1,Китай-город
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305958625/,Москва,rent,flat,16,25,3,104.0,500000,0,Пресненский,Зоологическая ,22,Баррикадная
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306512768/,Москва,rent,flat,3,5,4,134.0,350000,0,Замоскворечье, Малая Ордынка,13С1,Третьяковская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307391015/,Москва,rent,flat,3,7,4,192.0,450000,0,Арбат,Кривоарбатский переулок,16/22,Смоленская
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/rent/flat/297758989/,Москва,rent,flat,2,2,3,160.0,550000,0,Замоскворечье,Садовническая ,61С2,Павелецкая
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/rent/flat/306378902/,Москва,rent,flat,2,16,4,254.6,900000,0,Якиманка,Якиманский переулок,6с1,Октябрьская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306602694/,Москва,rent,flat,1,3,3,163.0,800000,0,Хамовники,2-й Зачатьевский переулок,13,Кропоткинская
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307484240/,Москва,rent,flat,10,13,3,193.0,680000,0,Тверской, Малая Дмитровка,24/2,Маяковская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307569356/,Москва,rent,flat,4,8,4,140.0,510000,0,Якиманка, Большая Полянка,43С3,Полянка
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307341637/,Москва,rent,flat,5,7,2,80.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Библиотека им. Ленина
Monumental Group,real_estate_agent,https://www.cian.ru/rent/flat/303471354/,Москва,rent,flat,2,5,3,82.5,440000,0,Таганский,Славянская площадь,2/5с1,Китай-город
Владимир Фетискин,realtor,https://www.cian.ru/rent/flat/277579682/,Москва,rent,flat,4,7,3,124.0,650000,0,Замоскворечье,Садовническая ,57С2,Павелецкая
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307090897/,Москва,rent,flat,2,5,3,76.0,350000,0,Тверской, Малая Дмитровка,8С1,Пушкинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306110276/,Москва,rent,flat,5,8,3,156.0,1000000,0,Хамовники,переулок Хилков,1,Парк Культуры
Kalinka Group,real_estate_agent,https://www.cian.ru/rent/flat/305742864/,Москва,rent,flat,16,17,4,140.0,350000,0,Покровское-Стрешнево,Волоколамское шоссе,60К2,Щукинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305683693/,Москва,rent,flat,8,9,2,65.0,450000,0,Тверской,1-я Тверская-Ямская ,2,Маяковская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305151652/,Москва,rent,flat,9,11,4,156.0,450000,0,Тверской,Страстной бульвар,10к1,Пушкинская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/304393583/,Москва,rent,flat,2,8,4,190.0,462924,0,Арбат,Гоголевский бульвар,29,Арбатская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306273462/,Москва,rent,flat,16,25,3,106.0,500000,0,Пресненский,Зоологическая ,22,Баррикадная
Urban Heights Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/304623842/,Москва,rent,flat,37,69,3,73.0,360000,0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити
Ашихмин и партнёры,real_estate_agent,https://www.cian.ru/rent/flat/303203186/,Москва,rent,flat,5,6,4,455.0,795000,0,Покровское-Стрешнево,Береговая ,4к10,Стрешнево
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/300403309/,Москва,rent,flat,6,10,4,285.0,1200000,0,Басманный,Казарменный переулок,3С6,Курская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300432732/,Москва,rent,flat,6,6,4,283.0,1200000,0,Басманный,Казарменный переулок,3С6,Курская
Парус,real_estate_agent,https://www.cian.ru/rent/flat/307453532/,Москва,rent,flat,4,4,2,50.0,300000,0,Мещанский,Олимпийский проспект,12,Цветной бульвар
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/304796774/,Москва,rent,flat,2,9,4,183.0,380000,0,Хамовники,7-й Ростовский переулок,15,Киевская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306794405/,Москва,rent,flat,3,5,4,178.0,700000,0,Хамовники, Остоженка,7С1,Кропоткинская
CAPITAL REAL ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307533824/,Москва,rent,flat,4,6,4,170.0,340000,0,Тверской,Тверская ,12С8,Пушкинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/297240684/,Москва,rent,flat,9,10,4,145.0,350000,0,Пресненский,Студенецкий переулок,3,Улица 1905 года
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306066990/,Москва,rent,flat,2,9,4,183.0,380000,0,Хамовники,7-й Ростовский переулок,15,Киевская
Webster,real_estate_agent,https://www.cian.ru/rent/flat/305785719/,Москва,rent,flat,3,11,3,64.0,400000,0,Хамовники, Ефремова,10к2,Спортивная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306476525/,Москва,rent,flat,8,10,4,153.0,650000,0,Тверской,Большая Грузинская ,69,Белорусская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303425833/,Москва,rent,flat,31,43,3,145.0,400000,0,Раменки,Мосфильмовская ,70к2,Ломоносовский проспект
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307447453/,Москва,rent,flat,3,4,4,121.0,370000,0,Басманный,Малый Козловский переулок,8,Красные ворота
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307147656/,Москва,rent,flat,6,15,4,170.0,550000,0,Пресненский,Зоологическая ,30С2,Баррикадная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/298528353/,Москва,rent,flat,2,9,4,162.0,1700000,0,Арбат, Малая Молчановка,8С1,Арбатская
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307403520/,Москва,rent,flat,6,6,4,270.0,500000,0,Хамовники,Малый Могильцевский переулок,4Б,Кропоткинская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306941274/,Москва,rent,flat,13,48,4,130.0,450000,0,Щукино,Авиационная ,79К1,Щукинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/291963506/,Москва,rent,flat,1,7,2,69.0,400000,0,Пресненский,Гранатный переулок,6,Баррикадная
Prime Estate,real_estate_agent,https://www.cian.ru/rent/flat/303494255/,Москва,rent,flat,30,41,4,120.0,680000,0,Хорошевский,Ленинградский проспект,37/4,ЦСКА
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306476230/,Москва,rent,flat,8,10,4,153.0,650000,0,Тверской,Большая Грузинская ,69,Белорусская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303490088/,Москва,rent,flat,31,43,3,145.0,400000,0,Раменки,Мосфильмовская ,70к2,Ломоносовский проспект
ID 12244116,real_estate_agent,https://www.cian.ru/rent/flat/272414793/,Москва,rent,flat,5,12,3,89.0,300000,0,Аэропорт,Ленинградский проспект,36с30,Динамо
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512094/,Москва,rent,flat,10,10,4,170.0,550000,0,Хамовники,3-я Фрунзенская ,5к1,Фрунзенская
Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/306365189/,Москва,rent,flat,8,10,4,176.5,550000,0,Хамовники,3-я Фрунзенская ,5к1,Фрунзенская
Антон Черников,realtor,https://www.cian.ru/rent/flat/306734389/,Москва,rent,flat,50,78,3,117.5,450000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/305344752/,Москва,rent,flat,8,13,3,127.0,650000,0,Арбат, Новый Арбат,32,Смоленская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303734129/,Москва,rent,flat,2,13,4,210.0,450000,0,Арбат,Малый Новопесковский переулок,8,Смоленская
